02-18 18:10 pyswallow.utils.reporter INFO     Swarm initialised successfully
02-18 18:10 pyswallow.utils.reporter DEBUG    Populations reset
02-18 18:10 pyswallow.utils.reporter DEBUG    Environment reset
02-18 18:10 pyswallow.utils.reporter DEBUG    Population initialised
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 85	GBest Fitness = 1.000	GBest Position = [ 3.04587921e-06 -4.76681433e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 86	GBest Fitness = 1.000	GBest Position = [ 3.04587921e-06 -4.76681433e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 87	GBest Fitness = 1.000	GBest Position = [ 3.04587921e-06 -4.76681433e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 88	GBest Fitness = 1.000	GBest Position = [ 3.04587921e-06 -4.76681433e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 89	GBest Fitness = 1.000	GBest Position = [ 3.04587921e-06 -4.76681433e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 90	GBest Fitness = 1.000	GBest Position = [ 2.76868750e-06 -4.91312816e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 91	GBest Fitness = 1.000	GBest Position = [ 2.76868750e-06 -4.91312816e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 92	GBest Fitness = 1.000	GBest Position = [ 2.76868750e-06 -4.91312816e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 93	GBest Fitness = 1.000	GBest Position = [ 1.14512358e-06 -4.00387801e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 94	GBest Fitness = 1.000	GBest Position = [ 1.85622713e-07 -3.48835078e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 95	GBest Fitness = 1.000	GBest Position = [ 1.85622713e-07 -3.48835078e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 96	GBest Fitness = 1.000	GBest Position = [ 1.85622713e-07 -3.48835078e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 97	GBest Fitness = 1.000	GBest Position = [ 1.85622713e-07 -3.48835078e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 98	GBest Fitness = 1.000	GBest Position = [ 2.49592777e-06 -1.42073929e-06]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 99	GBest Fitness = 1.000	GBest Position = [ 2.49592777e-06 -1.42073929e-06]
